Arquivo;CodProj;Data de Início;Data de Conclusão;CNPJ;Entidade;Tipo de Entidade;Unidade Federativa;Região
APLPED00032_RELATORIOFINALPED_0001_S07.XML;PD-00032-0001;01OCT2013;31JUL2016;07367844000114;EWL Assessoria Técnica Ltda;Executora;SP;Sudeste
APLPED00032_RELATORIOFINALPED_0001_S07.XML;PD-00032-0001;01OCT2013;31JUL2016;59975987000102;Techsys SC Ltda;Executora;SP;Sudeste
APLPED00032_RELATORIOFINALPED_1509_S01.XML;PD-00032-1509;18NOV2015;18JAN2018;02641663000110;Fundação CPqD - Centro de Pesquisa e Desenvolvimento em Telecomunicações;Executora;SP;Sudeste
APLPED00037_RELATORIOFINALPED_0001_S05.XML;PD-00037-0001;01MAR2010;15MAR2012;01441372000116;Unidade Josué Montello;Executora;MA;Nordeste
APLPED00037_RELATORIOFINALPED_0002_S16.XML;PD-00037-0002;01MAR2010;22DEC2011;03165769000158;Centro de Pesquisa e Qualificação Tecnológica;Executora;CE;Nordeste
APLPED00037_RELATORIOFINALPED_0002_S16.XML;PD-00037-0002;01MAR2010;22DEC2011;35005347000101;Centro Federal de Educação, Ciência e Tecnologia do Ceará;Executora;CE;Nordeste
APLPED00037_RELATORIOFINALPED_0004_S04.XML;PD-00037-0004;01MAR2010;11APR2011;01715975000169;Instituto de Tecnologia para o Desenvolvimento;Executora;PR;Sul
APLPED00037_RELATORIOFINALPED_0005_S02.XML;PD-00037-0005;17JUN2010;05JUL2012;33555921000170;Pontifícia Universidade Católica do Rio de Janeiro;Executora;RJ;Sudeste
APLPED00037_RELATORIOFINALPED_0005_S02.XML;PD-00037-0005;17JUN2010;05JUL2012;49607336000106;Fundação de Desenvolvimento da Unicamp;Executora;SP;Sudeste
APLPED00037_RELATORIOFINALPED_0008_S11.XML;PD-00037-0008;01JUN2010;20MAY2011;05396538000180;Siglasul Consultoria LTDA;Executora;RJ;Sudeste
APLPED00037_RELATORIOFINALPED_0009_S04.XML;PD-00037-0009;07JUL2010;14DEC2011;73845786000111;Choice Technologies S/A;Executora;RJ;Sudeste
APLPED00037_RELATORIOFINALPED_0010_S13.XML;PD-00037-0010;02AUG2010;14DEC2011;03165769000158;Centro de Pesquisa e Qualificação Tecnológica;Executora;CE;Nordeste
APLPED00037_RELATORIOFINALPED_0010_S13.XML;PD-00037-0010;02AUG2010;14DEC2011;10480189000110;HEXA MONTAGEM E SERVIÇOS DE EQUIPAMENTOS ELETRÔNICOS LTDA;Executora;CE;Nordeste
APLPED00037_RELATORIOFINALPED_0012_S06.XML;PD-00037-0012;02AUG2010;14DEC2011;03165769000158;Centro de Pesquisa e Qualificação Tecnológica;Executora;CE;Nordeste
APLPED00037_RELATORIOFINALPED_0014_S08.xml;PD-00037-0014;19DEC2011;18DEC2016;05331738000155;Consulte Consultoria, Estudos e Participaçãoe Ltda;Executora;BA;Nordeste
APLPED00037_RELATORIOFINALPED_0014_S08.xml;PD-00037-0014;19DEC2011;18DEC2016;06220430000103;Fundação de Apoio ao Desenvolvimento da Computação Científica;Executora;RJ;Sudeste
APLPED00037_RELATORIOFINALPED_0015_S21.XML;PD-00037-0015;13AUG2012;03JAN2014;04991083000189;Núcleo de Estudos e Pesquisa do Nordeste;Executora;CE;Nordeste
APLPED00037_RELATORIOFINALPED_0015_S21.XML;PD-00037-0015;13AUG2012;03JAN2014;10480189000110;HEXA MONTAGEM E SERVIÇOS DE EQUIPAMENTOS ELETRÔNICOS LTDA;Executora;CE;Nordeste
APLPED00037_RELATORIOFINALPED_0016_S28.XML;PD-00037-0016;01OCT2012;01AUG2014;01715975000169;Instituto de Tecnologia para o Desenvolvimento;Executora;PR;Sul
APLPED00037_RELATORIOFINALPED_0016_S28.XML;PD-00037-0016;01OCT2012;01AUG2014;78958717001614;Romagnole Produtos Elétricos S/A;Executora;PR;Sul
APLPED00037_RELATORIOFINALPED_0018_S05.XML;PD-00037-0018;15JAN2013;08JUL2015;04991083000189;Núcleo de Estudos e Pesquisa do Nordeste;Executora;CE;Nordeste
APLPED00037_RELATORIOFINALPED_0018_S05.XML;PD-00037-0018;15JAN2013;08JUL2015;08287511000148;Powersyslab Engenharia e Sistemas Ltda;Executora;RS;Sul
APLPED00037_RELATORIOFINALPED_0019_S03.xml;PD-00037-0019;;;02279806000196;Daimon Engenharia e Sistemas;Executora;SP;Sudeste
APLPED00037_RELATORIOFINALPED_0020_S13.xml;PD-00037-0020;01AUG2014;30OCT2016;07060718000112;Fundacao Sousândrade de Apoio ao Desenvolvimento da Universidade Federal do Maranhao - FSADU;Executora;MA;Nordeste
APLPED00037_RELATORIOFINALPED_0021_S06.xml;PD-00037-0021;26NOV2014;22MAR2017;01715975000169;Instituto de Tecnologia para o Desenvolvimento;Executora;PR;Sul
APLPED00037_RELATORIOFINALPED_0021_S06.xml;PD-00037-0021;26NOV2014;22MAR2017;78958717001614;Romagnole Produtos Elétricos S/A;Executora;PR;Sul
APLPED000382_RELATORIOFINALPED_0052_S02.xml;PD-00038-0052;22JUL2010;22MAR2013;07508600000104;EFLUPE - Empresa Fluminense de Pesquisa Ener;Executora;RJ;Sudeste
APLPED000382_RELATORIOFINALPED_0052_S02.xml;PD-00038-0052;22JUL2010;22MAR2013;72060999000175;Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos;Executora;RJ;Sudeste
APLPED00038_RELATORIOFINALPED_0001_S02.XML;PD-00038-0001;03AUG2011;30SEP2016;01715975000169;Instituto de Tecnologia para o Desenvolvimento;Executora;PR;Sul
APLPED00038_RELATORIOFINALPED_0001_S02.XML;PD-00038-0001;03AUG2011;30SEP2016;49607336000106;Fundação de Desenvolvimento da Unicamp;Executora;SP;Sudeste
APLPED00038_RELATORIOFINALPED_0004_S02.XML;PD-00038-0004;24FEB2012;31JUL2016;01715975000169;Instituto de Tecnologia para o Desenvolvimento;Executora;PR;Sul
APLPED00038_RELATORIOFINALPED_0015_S03.XML;PD-00038-0015;22NOV2013;30JUN2017;01664591000164;FUNDAÇÃO PARA O DESENVOLVIMENTO DE BAURU - FUNDEB;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0031_S02.xml;PD-00039-0031;01JUL2012;30JUN2016;02939127000104;Fundação de Apoio a Capacitação em Tecnologia da Informação - FACTI;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0031_S02.xml;PD-00039-0031;01JUL2012;30JUN2016;04897383000101;Matrix Engenharia em Energia Ltda;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0039_S01.XML;PD-00039-0039;01JUL2012;30JUN2016;04897383000101;Matrix Engenharia em Energia LTDA;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0039_S01.XML;PD-00039-0039;01JUL2012;30JUN2016;12519789000170;Control Inovações Tecnológicas em Produtos Elétricos e Eletrônicos Ltda;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0040_S02.XML;PD-00039-0040;02MAY2012;01MAY2017;04897383000101;Matrix Engenharia em Energias Ltda;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0040_S02.XML;PD-00039-0040;02MAY2012;01MAY2017;61379657000170;Fundação de Estudos e Pesquisas Aquáticas - FUNDESPA;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0052_S01.XML;PD-00039-0052;01DEC2011;23JAN2018;07373434000186;FUNDAÇÃO EDSON QUEIROZ - UNIFOR;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0052_S01.XML;PD-00039-0052;01DEC2011;23JAN2018;09411779000102;CONCEMA - CONSULTORIA EM CIENCIAS E ENERG. DOS MATERIAIS LTDA;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0052_S01.XML;PD-00039-0052;01DEC2011;23JAN2018;09411779000102;MATRIX ENGENHARIA EM ENERGIA LTDA;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0054_S01.xml;PD-00039-0054;01APR2013;30NOV2016;02939127000104;Fundação de Apoio a Capacitação em Tecnologia da Informação - FACTI;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0054_S01.xml;PD-00039-0054;01APR2013;30NOV2016;06289015000106;Jose Otavio Simoes Gestão;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0054_S01.xml;PD-00039-0054;01APR2013;30NOV2016;07373434000186;Universidade de Fortaleza - Unifor;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0057_S01.xml;PD-00039-0057;01NOV2012;31MAY2016;04897383000101;Matrix Engenharia em Energia Ltda;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0057_S01.xml;PD-00039-0057;01NOV2012;31MAY2016;06289015000106;Jose Otavio Simoes Gestão;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0057_S01.xml;PD-00039-0057;01NOV2012;31MAY2016;09223490000160;Control Indústria e Comércia de Produtos Elétricos e Eletrônicos Ltda;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0058_S01.XML;PD-00039-0058;01SEP2012;31OCT2016;04897383000101;Matrix Engenharia em Energia Ltda;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0058_S01.XML;PD-00039-0058;01SEP2012;31OCT2016;09223490000160;Control Indústria e Comércio de Produtos Elétricos e Eletrônicos Ltda;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0059_S02.XML;PD-00039-0059;01MAY2013;31MAY2016;03165769000158;Centro de Pesquisa e Qualificação Tecnológica - CPQT;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0059_S02.XML;PD-00039-0059;01MAY2013;31MAY2016;04897383000101;Matrix Engenharia em Energias LTDA;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0059_S02.XML;PD-00039-0059;01MAY2013;31MAY2016;06289015000106;José Otavio Simões Gestão;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0061_S01.XML;PD-00039-0061;01APR2013;30NOV2016;04849297000115;Lupa Tecnologia e Sistemas LTDA;Executora;MG;Sudeste
APLPED00039_RELATORIOFINALPED_0061_S01.XML;PD-00039-0061;01APR2013;30NOV2016;04897383000101;Matrix Engenharia em Energia LTDA;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0062_S03.xml;PD-00039-0062;01AUG2013;30NOV2016;04991083000189;Núcleo de Estudos e Pesquisa do Nordeste - NEPEN;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0067_S02.XML;PD-00039-0067;01JUN2013;22MAY2018;05905113000150;PC4 Comunicacao e Tecnologia Ltda;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0067_S02.XML;PD-00039-0067;01JUN2013;22MAY2018;06289015000106;Jose Otavio Simoes - Gestao;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0067_S02.XML;PD-00039-0067;01JUN2013;22MAY2018;10654927000107;3E - ENGENHARIA EM EFICIENCIA ENERGETICA LTDA;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0067_S02.XML;PD-00039-0067;01JUN2013;22MAY2018;11285389000185;NUNES e NERI Servicos de Publicidade Ltda;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0069_S01.XML;PD-00039-0069;01JUL2013;30JUN2018;08093224000105;Instituto de Apoio ao Queimado;Executora;CE;Nordeste
APLPED00039_RELATORIOFINALPED_0070_S01.XML;PD-00039-0070;01AUG2013;28NOV2017;02641663000110;Centro de Pesquisa e Desenvolvimento em Telecomunicações;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0070_S01.XML;PD-00039-0070;01AUG2013;28NOV2017;04897383000101;Matrix Engenharia em Energia LTDA;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0072_S01.XML;PD-00039-0072;01FEB2014;31AUG2017;02641663000110;Fundação CPqD - Centro de Pesquisa e Desenvolvimento em Telecomunicações;Executora;SP;Sudeste
APLPED00039_RELATORIOFINALPED_0072_S01.XML;PD-00039-0072;01FEB2014;31AUG2017;04897383000101;Matrix Engenharia em Energia Ltda;Executora;RJ;Sudeste
APLPED00039_RELATORIOFINALPED_0072_S01.XML;PD-00039-0072;01FEB2014;31AUG2017;17222768000102;ITEMM - Instituto de Tecnologia Edson Mororó Moura;Executora;PE;Nordeste
APLPED00039_RELATORIOFINALPED_0074_S01.XML;PD-00039-0074;10MAR2015;10NOV2017;17993584000146;RICORP TECHNOLOGY;Executora;RJ;Sudeste
APLPED00040_RELATORIOFINALPED_0021_S02.xml;PD-00040-0021;30JUL2014;30MAR2017;01715975000169;Instituto de Pesquisa para o Desenvolvimento;Executora;PR;Sul
APLPED00040_RELATORIOFINALPED_0021_S02.xml;PD-00040-0021;30JUL2014;30MAR2017;56519887000183;Montrel Controle Eletrônicos Ltda;Executora;SP;Sudeste
APLPED00043_RELATORIOFINALPED_0214_S04.xml;PD-00043-0214;01OCT2014;01OCT2016;42360404000136;Det Norske Veritas LTDA;Executora;RJ;Sudeste
APLPED00043_RELATORIOFINALPED_0512_S05.xml;PD-00043-0512;26AUG2013;25AUG2018;06062204000214;Centro de Gestão de Tecnologia e Inovação - CGTI;Executora;PE;Nordeste
APLPED00043_RELATORIOFINALPED_0512_S05.xml;PD-00043-0512;26AUG2013;25AUG2018;07505490000127;BeG Pesquisa e Desenvolvimento em Sistemas ELétricos Ltda;Executora;PE;Nordeste
APLPED00043_RELATORIOFINALPED_0512_S05.xml;PD-00043-0512;26AUG2013;25AUG2018;08662837000108;SECRETARIA DE RECURSOS HIDRICOS DE PERNAMBUCO - SRHPE;Executora;PE;Nordeste
APLPED00043_RELATORIOFINALPED_0512_S05.xml;PD-00043-0512;26AUG2013;25AUG2018;09320196000176;Versattus Gestão de Projetos e Energia Ltda;Executora;PE;Nordeste
APLPED00043_RELATORIOFINALPED_0512_S05.xml;PD-00043-0512;26AUG2013;25AUG2018;09769035000164;Companhia Pernambucana de Saneamento - COMPESA;Executora;PE;Nordeste
APLPED00043_RELATORIOFINALPED_0512_S05.xml;PD-00043-0512;26AUG2013;25AUG2018;14279170000161;SUSTENTE ENERGIAS SUSTENTAVEIS LTDA;Executora;PE;Nordeste
APLPED00043_RELATORIOFINALPED_0512_S05.xml;PD-00043-0512;26AUG2013;25AUG2018;19368942000155;INSTITUTO CAMARÁ - ITCA;Executora;PE;Nordeste
APLPED00043_RELATORIOFINALPED_0512_S05.xml;PD-00043-0512;26AUG2013;25AUG2018;41227190000161;Policonsult Associação Politécnica de Consultoria;Executora;PE;Nordeste
APLPED00044_RELATORIOFINALPED_0017_S15.XML;PD-00044-0017;01MAR2012;30APR2015;09185398000152;Fundação de Apoio à Pesquisa e à Extensão da Universidade Federal da Paraíba;Executora;PB;Nordeste
APLPED00044_RELATORIOFINALPED_0022_S04.xml;PD-00044-0022;01AUG2012;29MAY2015;12449880000167;Fundação Universitária de Desenvolvimento de Extensão e Pesquisa;Executora;AL;Nordeste
APLPED00044_RELATORIOFINALPED_0030_S09.xml;PD-00044-0030;10OCT2014;01DEC2016;15255367000123;Fundação Escola Politécnica da UFBA;Executora;BA;Nordeste
APLPED00046_RELATORIOFINALPED_0005_S09.xml;PD-00046-0005;;;15180714000104;Universidade Federal da Bahia;Executora;BA;Nordeste
APLPED00047_RELATORIOFINALPED_0060_S02.xml;PD-00047-0060;01APR2012;31MAR2017;09400429000140;Centro Brasileiro de Energia e Mudanças Climáticas;Executora;BA;Nordeste
APLPED00047_RELATORIOFINALPED_0060_S02.xml;PD-00047-0060;01APR2012;31MAR2017;15180714000104;Universidade Federal da Bahia - Escola Polit;Executora;BA;Nordeste
APLPED00047_RELATORIOFINALPED_0060_S02.xml;PD-00047-0060;01APR2012;31MAR2017;17217985000104;Universidade Federal de Minas Gerais;Executora;MG;Sudeste
APLPED00047_RELATORIOFINALPED_0060_S02.xml;PD-00047-0060;01APR2012;31MAR2017;24134488000108;Universidade Federal de Pernambuco;Executora;PE;Nordeste
APLPED00047_RELATORIOFINALPED_0060_S02.xml;PD-00047-0060;01APR2012;31MAR2017;46068425000133;Universidade Estadual de Campinas;Executora;SP;Sudeste
APLPED00047_RELATORIOFINALPED_0062_S03.xml;PD-00047-0062;15JAN2013;14JAN2018;01715975000169;Instituto de Tecnologia para o Desenvolvimento;Executora;PR;Sul
APLPED00047_RELATORIOFINALPED_0062_S03.xml;PD-00047-0062;15JAN2013;14JAN2018;05303007000104;Ferramentas e Equipamentos Elétricos LTDA;Executora;RS;Sul
APLPED00047_RELATORIOFINALPED_0077_S02.xml;PD-00047-0077;01JUL2014;29DEC2016;01715975000169;Instituto de Tecnologia para o Desenvolvimento;Executora;PR;Sul
APLPED00061_RELATORIOFINALPED_0003_S06.xml;PD-00061-0003;02FEB2012;01AUG2014;46068425000133;Universidade Estadual de Campinas;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0003_S06.xml;PD-00061-0003;02FEB2012;01AUG2014;49607336000106;Fundação de Desenvolvimento da UNICAMP;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0013_S01.xml;PD-00061-0013;03JAN2011;02JUN2014;00357503000119;Fundação de Ensino, Pesquisa e Extensão de Iha Solteira FEPISA;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0013_S01.xml;PD-00061-0013;03JAN2011;02JUN2014;03913941000104;M. FAP Consultoria Elétrica e Comércio Ltda.;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0013_S01.xml;PD-00061-0013;03JAN2011;02JUN2014;48031918001520;Universidade Estadual Paulista - Campus de I;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0014_S05.XML;PD-00061-0014;31JAN2011;30JUL2014;61379657000104;Fundação de Estudos e Pesquisas Aquáticas FUNDESPA;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0017_S05.xml;PD-00061-0017;05JUL2012;04MAR2014;68314830000127;FUSP - Fundação de Apoio à Universidade de São Paulo;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0017_S05.xml;PD-00061-0017;05JUL2012;04MAR2014;82703331000152;MRTS CONSULTORIA E ENGENHARIA LTDA;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0023_S01.xml;PD-00061-0023;01OCT2012;30SEP2014;03028280000134;Lógica América do Sul Soluções de Tecnologia Ltda;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0026_S03.XML;PD-00061-0026;02AUG2012;01AUG2014;04374918000151;Hedaidi Engenharia Ltda;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0026_S03.XML;PD-00061-0026;02AUG2012;01AUG2014;05286757000107;AeT Energia Ltda;Executora;MG;Sudeste
APLPED00061_RELATORIOFINALPED_0026_S03.XML;PD-00061-0026;02AUG2012;01AUG2014;13582931000197;GPTECH Gestão e Pesquisas Tecnológicas LTDA;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0038_S03.XML;PD-00061-0038;27JUL2013;21JAN2015;01188086000190;Compergy Qualidade Ltda;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0038_S03.XML;PD-00061-0038;27JUL2013;21JAN2015;03105410000195;ATS Tecnologia de Apoio e Serviços Ltda ME;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0038_S03.XML;PD-00061-0038;27JUL2013;21JAN2015;10328454000140;H.H.T. Engenharia Consultoria e Representação Comercial Ltda - ME;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0038_S03.XML;PD-00061-0038;27JUL2013;21JAN2015;57394652000175;Fundação para o Desenvolvimento da Unesp - FUNDUNESP;Executora;SP;Sudeste
APLPED00061_RELATORIOFINALPED_0046_S06.XML;PD-00061-0046;01AUG2015;30MAR2018;01404776000130;Associação Brasileira dos Produtores Independentes de Energia Elétrica;Executora;DF;Centro-Oeste
APLPED00061_RELATORIOFINALPED_0046_S06.XML;PD-00061-0046;01AUG2015;30MAR2018;04724690000182;CENTRO DE GESTÃO E ESTUDOS ESTRATÉGICOS;Executora;DF;Centro-Oeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;02279806000196;DAIMON ENGENHARIA E SISTEMAS S/S LTDA;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;02641663000110;FUNDAÇÃO CPqD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICAÇÕES;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000133;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000134;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000135;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000136;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000137;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000138;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000139;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000140;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000141;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000142;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000143;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000144;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000145;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000146;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000147;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000148;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000149;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000150;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000151;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000152;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000153;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000154;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000155;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000156;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000157;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000158;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000159;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000160;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000161;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000162;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000163;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000164;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_0060_S01.XML;PD-00063-0060;05AUG2013;04AUG2018;46068425000165;UNIVERSIDADE ESTADUAL DE CAMPINAS;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_3003_S03.xml;PD-00063-3003;05JAN2014;04JAN2017;02279806000196;DAIMON ENGENHARIA E SISTEMAS S/S LTDA.;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_3006_S03.xml;PD-00063-3006;01APR2014;30SEP2016;05364929000113;Nunes e Borges Campos Ltda - ME;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_3006_S03.xml;PD-00063-3006;01APR2014;30SEP2016;07512949000110;Redenel Engenharia e Representações LTDA;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_3006_S03.xml;PD-00063-3006;01APR2014;30SEP2016;09474731000143;Sinapsis Inovação em Energia S/S Ltda;Executora;SP;Sudeste
APLPED00063_RELATORIOFINALPED_3006_S03.xml;PD-00063-3006;01APR2014;30SEP2016;14784855000165;RAR Consultoria e Engenharia Ltda;Executora;SP;Sudeste
